DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2025,EQ,"228.00","229.40","224.53","226.00","227.00","227.39","227.48","335.35","176.00",14226916,"3,23,63,91,190.16",79812
16-Apr-2025,EQ,"221.80","226.90","220.75","221.80","225.25","226.00","224.83","335.35","176.00",16706004,"3,75,60,04,827.10",89879
15-Apr-2025,EQ,"216.00","222.65","214.15","212.97","222.03","221.80","220.08","335.35","176.00",13352688,"2,93,86,10,805.00",78514
11-Apr-2025,EQ,"216.00","217.99","212.50","211.81","212.85","212.97","214.96","335.35","176.00",7830994,"1,68,33,15,481.17",45200
09-Apr-2025,EQ,"210.94","214.20","205.19","210.94","211.95","211.81","210.19","335.35","176.00",10120991,"2,12,73,53,372.37",58113
08-Apr-2025,EQ,"211.00","214.90","208.58","207.70","211.45","210.94","211.63","335.35","176.00",9741351,"2,06,15,67,506.45",51285
07-Apr-2025,EQ,"194.00","209.09","193.50","214.45","208.74","207.70","204.37","335.35","176.00",19369229,"3,95,84,59,617.30",140457
04-Apr-2025,EQ,"218.68","221.90","213.05","218.68","214.50","214.45","217.99","335.35","176.00",20924777,"4,56,13,62,395.12",130516
03-Apr-2025,EQ,"209.16","220.50","209.16","212.58","219.81","218.68","215.53","335.35","176.00",14138540,"3,04,72,97,458.85",68910
02-Apr-2025,EQ,"213.10","213.15","207.41","211.69","212.50","212.58","210.87","335.35","176.00",9217703,"1,94,37,49,100.91",62231
01-Apr-2025,EQ,"215.15","215.70","210.05","216.43","212.21","211.69","212.18","335.35","176.00",16822545,"3,56,94,24,638.40",82472
28-Mar-2025,EQ,"215.54","221.30","214.21","213.98","215.15","216.43","217.69","335.35","176.00",20677777,"4,50,13,89,382.89",129343
27-Mar-2025,EQ,"210.52","216.90","208.76","210.52","215.99","213.98","213.52","335.35","176.00",37280559,"7,96,01,44,248.81",113202
26-Mar-2025,EQ,"214.65","216.04","210.00","213.60","210.40","210.52","212.45","335.35","176.00",11768733,"2,50,02,44,672.37",73723
25-Mar-2025,EQ,"219.70","221.90","212.85","217.54","213.20","213.60","217.81","335.35","176.00",13641191,"2,97,11,51,208.58",94955
24-Mar-2025,EQ,"214.00","220.50","212.79","211.95","219.00","217.54","217.53","335.35","176.00",17162186,"3,73,33,02,737.70",95051
21-Mar-2025,EQ,"206.54","213.67","206.30","206.54","211.88","211.95","211.52","335.35","176.00",14567468,"3,08,12,40,683.91",115293
20-Mar-2025,EQ,"206.94","207.95","202.48","205.69","206.30","206.54","205.72","335.35","176.00",7090259,"1,45,85,94,609.48",49826
19-Mar-2025,EQ,"206.00","207.75","204.11","203.88","204.53","205.69","205.99","335.35","176.00",8763675,"1,80,52,40,811.36",55453
18-Mar-2025,EQ,"196.90","204.59","196.16","195.43","204.19","203.88","201.06","335.35","176.00",11404736,"2,29,30,09,140.91",72147
